Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,Host,Isolation_Source,Collection_Date
OP121153,dengue virus type 1,"Ngwe Tun,M.M., Kyaw,A.K., Nabeshima,T., Dumre,S.P., Soe,A.M., Nwe,K.M., Myaing,S.S., Lwin,E.P., Win,Y.T., Inoue,S., Takamatsu,Y., Urano,T., Thu,H.M., Thant,K.Z., Htun,Z.T., Morita,K.","Nagasaki University, Department of Virology",Japan,3/29/24,Mdy-19-19,Orthoflavivirus denguei,10672,partial,Myanmar,Homo sapiens,blood,2019-07
OP121154,dengue virus type 1,"Ngwe Tun,M.M., Kyaw,A.K., Nabeshima,T., Dumre,S.P., Soe,A.M., Nwe,K.M., Myaing,S.S., Lwin,E.P., Win,Y.T., Inoue,S., Takamatsu,Y., Urano,T., Thu,H.M., Thant,K.Z., Htun,Z.T., Morita,K.","Nagasaki University, Department of Virology",Japan,3/29/24,Mdy-64-19,Orthoflavivirus denguei,10672,partial,Myanmar,Homo sapiens,blood,2019-07
OP121155,dengue virus type 1,"Ngwe Tun,M.M., Kyaw,A.K., Nabeshima,T., Dumre,S.P., Soe,A.M., Nwe,K.M., Myaing,S.S., Lwin,E.P., Win,Y.T., Inoue,S., Takamatsu,Y., Urano,T., Thu,H.M., Thant,K.Z., Htun,Z.T., Morita,K.","Nagasaki University, Department of Virology",Japan,3/29/24,Mdy-58-19,Orthoflavivirus denguei,10672,partial,Myanmar,Homo sapiens,blood,2019-07
OP121156,dengue virus type 1,"Ngwe Tun,M.M., Kyaw,A.K., Nabeshima,T., Dumre,S.P., Soe,A.M., Nwe,K.M., Myaing,S.S., Lwin,E.P., Win,Y.T., Inoue,S., Takamatsu,Y., Urano,T., Thu,H.M., Thant,K.Z., Htun,Z.T., Morita,K.","Nagasaki University, Department of Virology",Japan,3/29/24,Mdy-201-19,Orthoflavivirus denguei,10672,partial,Myanmar,Homo sapiens,blood,2019-07
PP269455,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2010-11-17/Yale-DN01081,Orthoflavivirus denguei,10212,partial,Vietnam,Homo sapiens,blood,11/17/10
PP269456,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2011-02-11/Yale-DN01084,Orthoflavivirus denguei,10477,partial,Vietnam,Homo sapiens,blood,2/11/11
PP269457,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2011-04-06/Yale-DN01087,Orthoflavivirus denguei,10477,partial,Vietnam,Homo sapiens,blood,4/6/11
PP269458,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2011-05-24/Yale-DN01088,Orthoflavivirus denguei,10609,partial,Vietnam,Homo sapiens,blood,5/24/11
PP269459,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2011-06-16/Yale-DN01089,Orthoflavivirus denguei,10477,partial,Vietnam,Homo sapiens,blood,6/16/11
PP269460,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2011-07-27/Yale-DN01095,Orthoflavivirus denguei,10477,partial,Vietnam,Homo sapiens,blood,7/27/11
PP269461,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2011-08-16/Yale-DN01100,Orthoflavivirus denguei,10477,partial,Vietnam,Homo sapiens,blood,8/16/11
PP269462,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2011-08-22/Yale-DN01101,Orthoflavivirus denguei,10469,partial,Vietnam,Homo sapiens,blood,8/22/11
PP269463,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2011-11-10/Yale-DN01116,Orthoflavivirus denguei,10580,partial,Vietnam,Homo sapiens,blood,11/10/11
PP269464,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2011-12-07/Yale-DN01120,Orthoflavivirus denguei,10575,partial,Vietnam,Homo sapiens,blood,12/7/11
PP269465,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2012-03-02/Yale-DN01123,Orthoflavivirus denguei,10565,partial,Vietnam,Homo sapiens,blood,3/2/12
PP269466,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2012-03-26/Yale-DN01126,Orthoflavivirus denguei,10180,partial,Vietnam,Homo sapiens,blood,3/26/12
PP269467,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2012-03-28/Yale-DN01127,Orthoflavivirus denguei,10593,partial,Vietnam,Homo sapiens,blood,3/28/12
PP269468,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2012-06-25/Yale-DN01132,Orthoflavivirus denguei,10477,partial,Vietnam,Homo sapiens,blood,6/25/12
PP269469,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2012-07-12/Yale-DN01134,Orthoflavivirus denguei,10616,partial,Vietnam,Homo sapiens,blood,7/12/12
PP269470,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2012-07-31/Yale-DN01136,Orthoflavivirus denguei,10616,partial,Vietnam,Homo sapiens,blood,7/31/12
PP269471,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2012-08-02/Yale-DN01137,Orthoflavivirus denguei,10608,partial,Vietnam,Homo sapiens,blood,8/2/12
PP269472,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2012-08-07/Yale-DN01139,Orthoflavivirus denguei,10575,partial,Vietnam,Homo sapiens,blood,8/7/12
PP269473,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2012-08-07/Yale-DN01140,Orthoflavivirus denguei,10616,partial,Vietnam,Homo sapiens,blood,8/7/12
PP269474,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2012-08-13/Yale-DN01141,Orthoflavivirus denguei,10611,partial,Vietnam,Homo sapiens,blood,8/13/12
PP269475,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2012-10-11/Yale-DN01148,Orthoflavivirus denguei,10575,partial,Vietnam,Homo sapiens,blood,10/11/12
PP269476,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2012-11-15/Yale-DN01151,Orthoflavivirus denguei,10477,partial,Vietnam,Homo sapiens,blood,11/15/12
PP269477,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2013-04-18/Yale-DN01162,Orthoflavivirus denguei,10575,partial,Vietnam,Homo sapiens,blood,4/18/13
PP269478,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2013-06-13/Yale-DN01164,Orthoflavivirus denguei,10613,partial,Vietnam,Homo sapiens,blood,6/13/13
PP269479,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2013-08-09/Yale-DN01168,Orthoflavivirus denguei,10609,partial,Vietnam,Homo sapiens,blood,8/9/13
PP269480,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2013-09-04/Yale-DN01173,Orthoflavivirus denguei,10477,partial,Vietnam,Homo sapiens,blood,9/4/13
PP269481,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2011-11-01/Yale-DN01112-1,Orthoflavivirus denguei,10477,partial,Vietnam,Homo sapiens,blood,11/1/11
PP269482,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2015-10-06/Yale-DN01587-1,Orthoflavivirus denguei,10606,partial,Vietnam,Homo sapiens,blood,10/6/15
PP269483,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2013-07-08/Yale-DN01922-1,Orthoflavivirus denguei,10182,partial,Vietnam,Homo sapiens,blood,7/8/13
PP269484,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2013-11-01/Yale-DN01179,Orthoflavivirus denguei,10477,partial,Vietnam,Homo sapiens,blood,11/1/13
PP269485,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2013-11-22/Yale-DN01181,Orthoflavivirus denguei,10477,partial,Vietnam,Homo sapiens,blood,11/22/13
PP269486,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2013-12-12/Yale-DN01182,Orthoflavivirus denguei,10575,partial,Vietnam,Homo sapiens,blood,12/12/13
PP269487,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2014-04-08/Yale-DN01184,Orthoflavivirus denguei,10182,partial,Vietnam,Homo sapiens,blood,4/8/14
PP269488,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2014-05-15/Yale-DN01185,Orthoflavivirus denguei,10565,partial,Vietnam,Homo sapiens,blood,5/15/14
PP269489,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2014-08-04/Yale-DN01191,Orthoflavivirus denguei,10477,partial,Vietnam,Homo sapiens,blood,8/4/14
PP269490,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2011-12-29/Yale-DN01194,Orthoflavivirus denguei,10477,partial,Vietnam,Homo sapiens,blood,12/29/11
PP269491,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2012-08-27/Yale-DN01203,Orthoflavivirus denguei,10598,partial,Vietnam,Homo sapiens,blood,8/27/12
PP269492,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2012-05-30/Yale-DN01218,Orthoflavivirus denguei,10609,partial,Vietnam,Homo sapiens,blood,5/30/12
PP269493,dengue virus type 1,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.","Yale University, Yale School of Public Health",USA,2/10/24,DENV1/Viet_Nam/2012-07-04/Yale-DN01222,Orthoflavivirus denguei,10091,partial,Vietnam,Homo sapiens,blood,7/4/12
